ID_PRODUTO,NOME_DO_PRODUTO,PRECO_PRODUTO,QTD_EM_ESTOQUE,QTD_PRODUTO_VENDIDO,PRODUTO_EM_PROMOCAO,QTD_DIAS_EM_PROMOCAO,DATA_COMPRA
28,Óleo,16.18,50,43,SIM,2,2024-04-07 13:56:28.032220
29,Sal,12.87,490,407,NÃO,0,2024-05-10 13:56:28.032220
30,Leite,4.06,441,366,SIM,20,2024-06-01 13:56:28.032220
31,Macarrão,9.46,260,145,SIM,7,2024-07-20 13:56:28.032220
32,Óleo,17.54,260,189,NÃO,0,2023-12-02 13:56:28.032220
33,Farinha de Trigo,18.61,349,74,SIM,2,2024-06-18 13:56:28.032220
34,Óleo,10.38,351,176,NÃO,0,2023-09-27 13:56:28.032220
35,Sal,10.66,7,4,SIM,19,2024-04-23 13:56:28.032220
36,Farinha de Trigo,18.53,319,73,NÃO,0,2024-05-06 13:56:28.032220
37,Macarrão,12.57,137,75,NÃO,0,2024-04-13 13:56:28.032220
38,Sal,2.59,37,34,NÃO,0,2023-11-10 13:56:28.032220
39,Feijão,18.43,110,70,SIM,22,2024-06-23 13:56:28.032220
40,Leite,6.47,479,349,NÃO,0,2023-10-10 13:56:28.032220
41,Macarrão,12.4,367,0,SIM,2,2023-08-29 13:56:28.032220
42,Feijão,4.98,219,194,NÃO,0,2024-04-27 13:56:28.032220
43,Margarina,2.61,336,152,SIM,14,2024-01-30 13:56:28.032220
44,Macarrão,7.61,222,68,SIM,2,2024-06-14 13:56:28.032220
45,Margarina,16.05,135,61,NÃO,0,2023-12-27 13:56:28.032220
46,Farinha de Trigo,7.0,255,32,NÃO,0,2023-10-10 13:56:28.032220
47,Feijão,5.96,359,273,NÃO,0,2024-06-10 13:56:28.032220
48,Leite,5.83,408,169,NÃO,0,2024-02-26 13:56:28.032220
49,Sal,11.27,328,103,NÃO,0,2023-10-18 13:56:28.032220
50,Café,19.56,449,205,SIM,20,2024-04-28 13:56:28.032220
51,Óleo,10.26,462,360,NÃO,0,2024-02-12 13:56:28.032220
52,Arroz,12.03,433,230,NÃO,0,2024-03-17 13:56:28.032220
53,Leite,17.49,450,66,SIM,24,2024-01-25 13:56:28.032220
54,Feijão,11.63,48,29,NÃO,0,2024-06-07 13:56:28.032220
55,Café,5.32,291,77,NÃO,0,2024-06-07 13:56:28.032220
56,Leite,7.39,381,0,SIM,14,2024-04-24 13:56:28.032220
57,Feijão,7.58,323,282,NÃO,0,2023-09-17 13:56:28.032220
58,Açúcar,9.15,77,47,NÃO,0,2024-06-11 13:56:28.032220
59,Açúcar,9.68,104,49,NÃO,0,2024-04-10 13:56:28.032220
60,Margarina,16.4,168,69,SIM,24,2024-04-20 13:56:28.032220
61,Leite,8.29,216,183,NÃO,0,2023-12-20 13:56:28.032220
62,Açúcar,10.43,377,377,SIM,2,2024-06-25 13:56:28.032220
63,Feijão,13.25,118,72,NÃO,0,2024-04-30 13:56:28.032220
64,Margarina,8.8,189,45,SIM,12,2023-09-20 13:56:28.032220
65,Feijão,17.06,254,117,NÃO,0,2024-01-05 13:56:28.032220
66,Margarina,12.57,369,224,SIM,24,2024-06-28 13:56:28.032220
67,Leite,7.29,265,0,SIM,6,2023-08-27 13:56:28.032220
68,Café,14.85,148,86,SIM,4,2024-07-25 13:56:28.032220
69,Sal,11.5,163,99,SIM,13,2024-04-13 13:56:28.032220
70,Macarrão,11.62,139,115,SIM,4,2024-03-27 13:56:28.032220
71,Café,10.66,346,278,SIM,22,2023-11-16 13:56:28.032220
72,Farinha de Trigo,10.95,487,257,NÃO,0,2023-11-08 13:56:28.032220
73,Feijão,15.78,257,225,NÃO,0,2024-07-18 13:56:28.032220
74,Farinha de Trigo,3.85,373,373,SIM,29,2023-11-26 13:56:28.032220
75,Café,8.02,268,135,SIM,4,2024-05-19 13:56:28.032220
76,Margarina,3.36,180,108,SIM,24,2023-12-31 13:56:28.032220
77,Macarrão,15.56,159,9,SIM,25,2023-09-29 13:56:28.032220
78,Macarrão,6.9,350,48,NÃO,0,2023-08-13 13:56:28.032220
79,Arroz,18.15,399,115,SIM,13,2024-02-24 13:56:28.032220
80,Macarrão,11.48,287,111,NÃO,0,2024-07-31 13:56:28.032220
81,Sal,16.41,287,64,NÃO,0,2023-12-22 13:56:28.032220
82,Macarrão,19.62,379,186,SIM,18,2023-12-18 13:56:28.032220
83,Café,17.12,225,89,SIM,6,2023-12-13 13:56:28.032220
84,Arroz,17.61,10,7,NÃO,0,2024-02-15 13:56:28.032220
85,Café,9.34,9,3,NÃO,0,2024-01-17 13:56:28.032220
86,Café,11.93,270,0,SIM,13,2024-06-26 13:56:28.032220
87,Óleo,6.57,272,144,SIM,27,2024-02-10 13:56:28.032220
88,Arroz,5.53,423,209,SIM,16,2024-02-11 13:56:28.032220
89,Café,11.1,401,114,NÃO,0,2023-09-29 13:56:28.032220
90,Óleo,12.71,182,95,NÃO,0,2024-08-02 13:56:28.032220
91,Óleo,8.11,456,105,SIM,4,2023-11-09 13:56:28.032220
92,Arroz,12.25,152,88,NÃO,0,2023-09-05 13:56:28.032220
93,Farinha de Trigo,17.97,487,487,NÃO,0,2024-04-08 13:56:28.032220
94,Margarina,12.02,314,15,SIM,19,2024-03-14 13:56:28.032220
95,Sal,14.97,333,123,SIM,14,2024-01-08 13:56:28.032220
96,Margarina,16.5,123,40,NÃO,0,2024-01-11 13:56:28.032220
97,Macarrão,19.8,472,184,NÃO,0,2024-05-22 13:56:28.032220
98,Sal,12.86,113,85,SIM,6,2023-10-20 13:56:28.032220
99,Macarrão,16.52,277,176,SIM,12,2024-06-04 13:56:28.032220
100,Café,19.33,499,355,SIM,16,2024-04-02 13:56:28.032220
101,Feijão,19.0,413,209,SIM,17,2024-01-09 13:56:28.032220
102,Arroz,4.54,467,79,SIM,13,2024-01-24 13:56:28.032220
103,Sal,9.32,212,46,NÃO,0,2023-11-11 13:56:28.032220
104,Sal,7.83,171,117,NÃO,0,2024-05-10 13:56:28.032220
105,Café,3.56,287,155,NÃO,0,2024-02-13 13:56:28.032220
106,Farinha de Trigo,13.4,434,353,NÃO,0,2023-12-05 13:56:28.032220
107,Óleo,15.25,173,99,SIM,14,2024-03-14 13:56:28.032220
108,Café,17.27,112,22,SIM,15,2024-08-07 13:56:28.032220
109,Açúcar,4.21,375,138,SIM,12,2024-01-15 13:56:28.032220
110,Óleo,17.78,404,259,NÃO,0,2024-07-11 13:56:28.032220
111,Arroz,13.57,482,326,NÃO,0,2023-12-13 13:56:28.032220
112,Óleo,14.67,121,86,NÃO,0,2023-08-29 13:56:28.032220
113,Farinha de Trigo,18.39,31,7,SIM,15,2023-10-23 13:56:28.032220
114,Óleo,13.25,221,44,NÃO,0,2024-01-09 13:56:28.032220
115,Arroz,8.05,118,53,SIM,2,2023-10-29 13:56:28.032220
116,Farinha de Trigo,16.85,38,32,SIM,5,2023-08-10 13:56:28.032220
117,Margarina,8.54,496,161,SIM,13,2024-07-08 13:56:28.032220
118,Sal,2.62,267,163,SIM,27,2024-06-13 13:56:28.032220
119,Sal,16.95,232,142,SIM,20,2024-05-06 13:56:28.032220
120,Macarrão,8.21,430,296,SIM,23,2023-10-10 13:56:28.032220
121,Margarina,15.93,17,15,NÃO,0,2023-09-22 13:56:28.032220
122,Margarina,8.53,148,131,SIM,27,2023-09-03 13:56:28.032220
123,Óleo,17.5,396,139,SIM,14,2024-04-30 13:56:28.032220
124,Sal,5.95,148,0,NÃO,0,2024-07-14 13:56:28.032220
125,Arroz,19.54,125,41,SIM,11,2024-01-14 13:56:28.032220
126,Leite,16.04,391,202,NÃO,0,2023-09-22 13:56:28.032220
127,Leite,4.06,301,123,NÃO,0,2024-02-13 13:56:28.032220
128,Farinha de Trigo,12.18,359,356,NÃO,0,2023-12-15 13:56:28.032220
129,Sal,19.74,237,119,SIM,17,2023-12-24 13:56:28.032220
130,Sal,10.48,134,88,SIM,28,2024-03-23 13:56:28.032220
131,Leite,5.28,150,83,NÃO,0,2024-04-28 13:56:28.032220
132,Sal,10.73,235,97,SIM,14,2023-09-19 13:56:28.032220
133,Óleo,11.22,223,4,SIM,22,2023-08-22 13:56:28.032220
134,Açúcar,15.35,202,97,NÃO,0,2024-08-06 13:56:28.032220
135,Feijão,14.58,255,255,NÃO,0,2023-11-02 13:56:28.032220
136,Margarina,9.25,85,16,SIM,8,2023-08-29 13:56:28.032220
137,Macarrão,5.92,149,6,NÃO,0,2023-10-18 13:56:28.032220
138,Farinha de Trigo,13.61,234,230,NÃO,0,2023-08-24 13:56:28.032220
139,Açúcar,9.59,344,235,NÃO,0,2023-12-31 13:56:28.032220
140,Leite,4.38,21,11,SIM,3,2024-05-28 13:56:28.032220
141,Margarina,18.21,347,291,SIM,5,2023-12-12 13:56:28.032220
142,Sal,14.44,284,82,SIM,9,2024-01-19 13:56:28.032220
143,Macarrão,14.3,268,126,NÃO,0,2024-04-12 13:56:28.032220
144,Sal,16.81,465,343,SIM,6,2024-02-11 13:56:28.032220
145,Arroz,11.53,257,257,NÃO,0,2024-06-19 13:56:28.032220
146,Arroz,16.67,28,5,SIM,22,2024-06-21 13:56:28.032220
147,Macarrão,10.97,212,173,SIM,2,2023-08-13 13:56:28.032220
148,Macarrão,3.21,462,275,NÃO,0,2024-05-19 13:56:28.032220
149,Leite,9.29,435,235,SIM,5,2024-01-25 13:56:28.032220
150,Macarrão,10.95,282,140,NÃO,0,2024-08-04 13:56:28.032220
151,Óleo,14.96,49,7,SIM,27,2024-02-02 13:56:28.032220
152,Sal,3.92,94,69,SIM,25,2024-08-04 13:56:28.032220
153,Açúcar,4.52,462,140,NÃO,0,2024-05-11 13:56:28.032220
154,Café,6.75,498,114,NÃO,0,2023-11-08 13:56:28.032220
155,Macarrão,6.8,406,292,NÃO,0,2024-02-22 13:56:28.032220
156,Farinha de Trigo,15.18,87,60,SIM,20,2024-08-06 13:56:28.032220
157,Arroz,6.51,43,22,SIM,12,2024-06-17 13:56:28.032220
158,Óleo,13.4,460,354,SIM,23,2023-09-14 13:56:28.032220
159,Margarina,10.9,277,237,NÃO,0,2024-04-23 13:56:28.032220
160,Café,12.32,170,140,NÃO,0,2023-12-14 13:56:28.032220
161,Açúcar,17.09,420,154,NÃO,0,2023-08-12 13:56:28.032220
162,Café,9.28,188,141,SIM,22,2024-01-04 13:56:28.032220
163,Macarrão,15.88,352,194,SIM,24,2023-11-03 13:56:28.032220
164,Leite,9.6,183,170,NÃO,0,2024-06-03 13:56:28.032220
165,Arroz,8.37,2,0,SIM,29,2023-12-11 13:56:28.032220
166,Arroz,19.26,190,78,NÃO,0,2024-06-07 13:56:28.032220
167,Margarina,5.32,117,40,SIM,26,2023-08-10 13:56:28.032220
168,Leite,3.63,18,9,SIM,16,2023-11-30 13:56:28.032220
169,Sal,15.88,22,13,NÃO,0,2023-11-06 13:56:28.032220
170,Feijão,3.23,412,256,SIM,20,2023-11-03 13:56:28.032220
171,Óleo,17.07,29,17,SIM,14,2023-09-03 13:56:28.032220
172,Arroz,9.87,294,196,NÃO,0,2023-10-17 13:56:28.032220
173,Farinha de Trigo,18.48,107,47,NÃO,0,2024-02-28 13:56:28.032220
174,Arroz,14.99,366,103,SIM,26,2023-11-24 13:56:28.032220
175,Café,12.99,280,72,NÃO,0,2024-01-09 13:56:28.032220
176,Arroz,19.09,127,94,SIM,15,2023-12-25 13:56:28.032220
177,Arroz,9.14,228,140,NÃO,0,2024-06-24 13:56:28.032220
178,Feijão,19.17,110,3,SIM,17,2024-07-05 13:56:28.032220
179,Feijão,4.43,135,104,SIM,2,2024-02-05 13:56:28.032220
180,Açúcar,10.71,361,350,NÃO,0,2023-12-08 13:56:28.032220
181,Sal,6.86,185,59,SIM,20,2023-09-17 13:56:28.032220
182,Farinha de Trigo,11.72,143,83,SIM,6,2024-07-22 13:56:28.032220
183,Arroz,4.92,71,27,NÃO,0,2023-08-31 13:56:28.032220
184,Arroz,17.15,128,84,NÃO,0,2023-11-26 13:56:28.032220
185,Óleo,17.24,363,75,SIM,16,2023-11-26 13:56:28.032220
186,Feijão,19.19,260,125,NÃO,0,2023-12-04 13:56:28.032220
187,Farinha de Trigo,4.78,2,1,NÃO,0,2023-10-08 13:56:28.032220
188,Margarina,13.22,448,362,SIM,3,2024-05-21 13:56:28.032220
189,Açúcar,10.54,387,234,SIM,28,2023-09-23 13:56:28.032220
190,Sal,8.2,103,42,NÃO,0,2024-03-28 13:56:28.032220
191,Leite,8.33,482,49,NÃO,0,2023-09-24 13:56:28.032220
192,Sal,9.43,223,69,NÃO,0,2023-09-04 13:56:28.032220
193,Café,14.69,319,122,SIM,12,2024-07-06 13:56:28.032220
194,Arroz,12.77,361,117,SIM,12,2023-10-18 13:56:28.032220
195,Açúcar,10.27,353,181,SIM,20,2024-06-04 13:56:28.032220
196,Café,3.37,490,203,SIM,13,2024-02-24 13:56:28.032220
197,Farinha de Trigo,3.4,472,256,SIM,20,2023-09-07 13:56:28.032220
198,Leite,2.04,9,7,SIM,9,2024-07-23 13:56:28.032220
199,Feijão,19.42,404,160,SIM,7,2023-11-08 13:56:28.032220
200,Açúcar,2.09,383,59,NÃO,0,2024-06-18 13:56:28.032220
201,Açúcar,3.86,301,97,NÃO,0,2023-10-10 13:56:28.032220
202,Arroz,7.66,230,148,SIM,22,2024-06-16 13:56:28.032220
203,Macarrão,16.53,218,145,SIM,19,2023-08-14 13:56:28.032220
204,Açúcar,19.32,410,246,SIM,6,2024-02-12 13:56:28.032220
205,Óleo,16.22,65,53,NÃO,0,2024-05-16 13:56:28.032220
206,Leite,14.43,424,192,SIM,13,2024-07-16 13:56:28.032220
207,Leite,11.38,111,111,NÃO,0,2024-07-06 13:56:28.032220
208,Óleo,3.56,12,8,NÃO,0,2024-06-04 13:56:28.032220
209,Margarina,19.25,392,0,NÃO,0,2024-06-29 13:56:28.032220
210,Óleo,15.65,499,474,NÃO,0,2023-10-21 13:56:28.032220
211,Óleo,13.5,419,129,NÃO,0,2023-11-21 13:56:28.032220
212,Leite,15.66,85,20,SIM,22,2023-11-23 13:56:28.032220
213,Sal,15.03,233,147,SIM,28,2023-12-25 13:56:28.032220
214,Leite,13.47,89,5,NÃO,0,2023-12-31 13:56:28.032220
215,Macarrão,19.65,313,102,SIM,15,2024-02-24 13:56:28.032220
216,Arroz,18.26,53,47,NÃO,0,2023-10-07 13:56:28.032220
217,Café,13.64,11,7,NÃO,0,2024-04-18 13:56:28.032220
218,Sal,14.48,208,146,SIM,22,2023-10-10 13:56:28.032220
219,Feijão,2.93,461,154,SIM,11,2023-12-01 13:56:28.032220
220,Café,14.06,13,1,SIM,19,2024-02-09 13:56:28.032220
221,Arroz,2.79,120,81,SIM,8,2024-05-26 13:56:28.032220
222,Macarrão,12.59,417,305,SIM,20,2024-05-05 13:56:28.032220
223,Macarrão,19.99,436,314,NÃO,0,2024-04-01 13:56:28.032220
224,Feijão,12.0,376,207,SIM,10,2023-10-05 13:56:28.032220
225,Sal,10.52,19,4,SIM,26,2024-02-25 13:56:28.032220
226,Margarina,7.63,74,74,SIM,16,2023-09-10 13:56:28.032220
227,Óleo,4.17,399,247,NÃO,0,2023-12-25 13:56:28.032220
228,Sal,15.16,242,110,SIM,26,2024-01-07 13:56:28.032220
229,Margarina,5.47,222,101,NÃO,0,2023-08-24 13:56:28.032220
230,Macarrão,4.08,69,37,SIM,11,2023-11-18 13:56:28.032220
231,Leite,9.59,311,238,SIM,13,2024-07-23 13:56:28.032220
232,Arroz,16.32,210,114,NÃO,0,2024-07-23 13:56:28.032220
233,Feijão,15.41,100,71,SIM,9,2023-12-16 13:56:28.032220
234,Arroz,2.99,185,99,SIM,20,2023-08-25 13:56:28.032220
235,Farinha de Trigo,10.19,131,61,NÃO,0,2023-10-14 13:56:28.032220
236,Farinha de Trigo,11.4,110,72,SIM,19,2023-12-31 13:56:28.032220
237,Sal,13.6,380,247,NÃO,0,2024-07-20 13:56:28.032220
238,Macarrão,13.7,131,59,NÃO,0,2023-09-30 13:56:28.032220
239,Macarrão,8.56,19,5,NÃO,0,2024-05-14 13:56:28.032220
240,Óleo,12.09,393,230,NÃO,0,2023-09-18 13:56:28.032220
241,Óleo,10.66,23,11,NÃO,0,2024-08-02 13:56:28.032220
242,Óleo,17.93,226,81,SIM,23,2023-12-27 13:56:28.032220
243,Leite,11.54,153,44,SIM,14,2024-05-18 13:56:28.032220
244,Café,9.94,292,175,SIM,11,2023-12-13 13:56:28.032220
245,Açúcar,9.28,229,145,NÃO,0,2024-03-26 13:56:28.032220
246,Café,12.3,468,191,NÃO,0,2023-10-19 13:56:28.032220
247,Arroz,16.47,309,109,NÃO,0,2023-10-02 13:56:28.032220
248,Café,11.69,487,142,NÃO,0,2024-07-17 13:56:28.032220
249,Leite,13.91,358,213,SIM,6,2024-07-09 13:56:28.032220
250,Arroz,15.28,404,120,SIM,2,2024-06-28 13:56:28.032220
251,Café,11.36,201,201,NÃO,0,2024-03-25 13:56:28.032220
252,Leite,9.68,37,14,NÃO,0,2024-05-31 13:56:28.032220
253,Açúcar,17.78,429,0,SIM,6,2023-09-04 13:56:28.032220
254,Café,9.52,259,127,NÃO,0,2023-12-10 13:56:28.032220
255,Leite,10.31,187,90,NÃO,0,2023-12-02 13:56:28.032220
256,Óleo,19.83,56,43,NÃO,0,2024-03-29 13:56:28.032220
257,Macarrão,2.0,428,244,SIM,17,2023-12-17 13:56:28.032220
258,Óleo,5.34,19,5,SIM,10,2023-10-03 13:56:28.032220
259,Macarrão,8.91,272,116,NÃO,0,2024-03-14 13:56:28.032220
260,Feijão,18.79,118,68,SIM,1,2024-06-02 13:56:28.032220
261,Feijão,3.26,70,0,NÃO,0,2023-12-27 13:56:28.032220
262,Feijão,2.17,3,2,NÃO,0,2023-09-27 13:56:28.032220
263,Açúcar,2.95,220,64,SIM,8,2023-10-20 13:56:28.032220
264,Óleo,3.59,13,11,NÃO,0,2023-11-04 13:56:28.032220
265,Macarrão,2.68,2,1,NÃO,0,2023-11-27 13:56:28.032220
266,Leite,10.64,215,141,SIM,22,2024-03-31 13:56:28.032220
267,Arroz,12.45,228,179,NÃO,0,2024-03-16 13:56:28.032220
268,Leite,6.89,335,215,NÃO,0,2024-04-20 13:56:28.032220
269,Arroz,9.17,185,123,NÃO,0,2023-12-20 13:56:28.032220
270,Farinha de Trigo,3.65,54,24,SIM,11,2024-06-05 13:56:28.032220
271,Leite,8.05,499,295,NÃO,0,2023-10-23 13:56:28.032220
272,Café,11.41,387,136,SIM,29,2024-01-28 13:56:28.032220
273,Café,15.18,375,155,NÃO,0,2024-05-28 13:56:28.032220
274,Sal,2.06,253,250,NÃO,0,2023-10-14 13:56:28.032220
275,Óleo,10.41,23,6,NÃO,0,2023-09-19 13:56:28.032220
276,Arroz,7.35,161,86,NÃO,0,2024-06-27 13:56:28.032220
277,Arroz,17.35,157,82,SIM,6,2023-12-13 13:56:28.032220
278,Óleo,14.88,81,34,SIM,14,2024-04-15 13:56:28.032220
279,Açúcar,12.6,402,252,NÃO,0,2023-08-19 13:56:28.032220
280,Sal,6.99,158,102,NÃO,0,2024-04-17 13:56:28.032220
281,Açúcar,18.39,187,50,NÃO,0,2023-12-03 13:56:28.032220
282,Açúcar,2.81,59,30,NÃO,0,2023-08-30 13:56:28.032220
283,Açúcar,3.97,402,92,NÃO,0,2024-03-19 13:56:28.032220
284,Óleo,9.05,304,211,NÃO,0,2023-11-05 13:56:28.032220
285,Açúcar,4.24,318,173,NÃO,0,2023-12-29 13:56:28.032220
286,Café,19.22,365,190,NÃO,0,2023-09-08 13:56:28.032220
287,Feijão,16.36,210,139,SIM,16,2023-10-02 13:56:28.032220
288,Farinha de Trigo,6.66,405,174,SIM,25,2023-11-26 13:56:28.032220
289,Arroz,12.59,151,110,SIM,13,2023-09-11 13:56:28.032220
290,Arroz,19.68,108,28,NÃO,0,2024-07-07 13:56:28.032220
291,Farinha de Trigo,17.92,75,63,NÃO,0,2023-08-12 13:56:28.032220
292,Óleo,12.81,29,10,NÃO,0,2024-02-02 13:56:28.032220
293,Leite,18.27,313,23,SIM,22,2023-09-23 13:56:28.032220
294,Óleo,19.81,485,202,NÃO,0,2023-11-30 13:56:28.032220
295,Arroz,15.38,116,45,SIM,20,2024-07-13 13:56:28.032220
296,Arroz,3.17,414,172,NÃO,0,2023-10-08 13:56:28.032220
297,Farinha de Trigo,9.23,355,198,SIM,4,2024-07-27 13:56:28.032220
298,Açúcar,17.08,191,147,SIM,11,2023-10-24 13:56:28.032220
299,Óleo,6.15,18,8,SIM,17,2024-05-06 13:56:28.032220
300,Macarrão,16.95,431,140,NÃO,0,2024-02-25 13:56:28.032220
301,Farinha de Trigo,4.17,172,37,SIM,14,2024-06-27 13:56:28.032220
302,Café,2.85,227,86,NÃO,0,2024-02-28 13:56:28.032220
303,Arroz,8.91,349,9,NÃO,0,2024-02-21 13:56:28.032220
304,Farinha de Trigo,2.66,182,58,NÃO,0,2023-10-20 13:56:28.032220
305,Óleo,19.23,112,90,NÃO,0,2023-10-09 13:56:28.032220
306,Arroz,16.87,182,53,NÃO,0,2024-07-09 13:56:28.032220
307,Leite,16.41,480,315,SIM,23,2023-12-07 13:56:28.032220
308,Farinha de Trigo,13.34,145,28,NÃO,0,2023-12-23 13:56:28.032220
309,Sal,5.89,318,299,NÃO,0,2024-05-13 13:56:28.032220
310,Arroz,11.33,115,110,NÃO,0,2023-12-11 13:56:28.032220
311,Óleo,12.75,112,72,NÃO,0,2024-07-22 13:56:28.032220
312,Feijão,11.45,250,249,NÃO,0,2024-05-05 13:56:28.032220
313,Macarrão,6.68,475,279,SIM,15,2024-03-15 13:56:28.032220
314,Margarina,11.27,250,173,SIM,25,2024-06-26 13:56:28.032220
315,Açúcar,10.84,302,246,NÃO,0,2023-08-28 13:56:28.032220
316,Margarina,19.93,458,249,SIM,25,2023-11-11 13:56:28.032220
317,Óleo,18.15,312,34,SIM,22,2024-01-26 13:56:28.032220
318,Café,10.34,117,81,NÃO,0,2023-10-31 13:56:28.032220
319,Café,13.21,300,114,SIM,19,2024-05-07 13:56:28.032220
320,Feijão,15.46,160,64,NÃO,0,2024-07-10 13:56:28.032220
321,Açúcar,2.63,400,229,SIM,4,2024-01-11 13:56:28.032220
322,Sal,18.11,197,126,SIM,14,2023-12-12 13:56:28.032220
323,Feijão,17.48,259,139,SIM,14,2024-07-25 13:56:28.032220
324,Margarina,10.23,147,96,NÃO,0,2024-01-19 13:56:28.032220
325,Feijão,9.04,239,77,SIM,30,2024-02-04 13:56:28.032220
326,Margarina,6.91,46,22,SIM,28,2023-12-16 13:56:28.032220
327,Arroz,10.58,474,337,NÃO,0,2024-07-06 13:56:28.032220
328,Café,2.8,398,375,NÃO,0,2024-03-04 13:56:28.032220
329,Arroz,17.34,197,197,SIM,16,2024-05-14 13:56:28.032220
330,Macarrão,2.64,46,27,NÃO,0,2024-06-01 13:56:28.032220
331,Açúcar,7.92,77,54,SIM,30,2023-12-12 13:56:28.032220
332,Sal,18.77,123,122,SIM,20,2024-01-15 13:56:28.032220
333,Margarina,15.23,74,24,NÃO,0,2024-06-14 13:56:28.032220
334,Sal,7.07,358,235,NÃO,0,2023-12-20 13:56:28.032220
335,Margarina,6.55,136,94,NÃO,0,2024-05-25 13:56:28.032220
336,Óleo,2.09,89,76,SIM,14,2024-07-18 13:56:28.032220
337,Feijão,14.52,399,86,NÃO,0,2024-03-24 13:56:28.032220
338,Macarrão,2.88,324,85,SIM,25,2024-05-06 13:56:28.032220
339,Café,11.59,499,252,NÃO,0,2024-05-29 13:56:28.032220
340,Margarina,19.32,60,35,SIM,6,2024-06-13 13:56:28.032220
341,Sal,3.97,137,106,NÃO,0,2024-01-01 13:56:28.032220
342,Macarrão,18.1,49,30,SIM,27,2023-08-28 13:56:28.032220
343,Leite,19.85,258,119,NÃO,0,2024-01-03 13:56:28.032220
344,Leite,3.11,460,277,SIM,21,2024-04-11 13:56:28.032220
345,Arroz,17.89,106,60,NÃO,0,2024-01-21 13:56:28.032220
346,Café,11.29,112,104,NÃO,0,2024-05-09 13:56:28.032220
347,Óleo,18.32,349,188,SIM,26,2023-12-18 13:56:28.032220
348,Sal,12.28,253,102,NÃO,0,2024-03-28 13:56:28.032220
349,Feijão,13.92,117,71,SIM,23,2023-10-17 13:56:28.032220
350,Feijão,11.79,492,270,SIM,25,2024-05-09 13:56:28.032220
351,Sal,17.56,197,21,NÃO,0,2024-02-25 13:56:28.032220
352,Açúcar,15.21,336,166,SIM,7,2023-10-23 13:56:28.032220
353,Óleo,11.38,364,172,NÃO,0,2023-11-24 13:56:28.032220
354,Macarrão,17.63,50,18,NÃO,0,2024-05-09 13:56:28.032220
355,Margarina,6.42,244,185,SIM,18,2024-02-02 13:56:28.032220
356,Açúcar,4.83,402,122,NÃO,0,2023-10-27 13:56:28.032220
357,Margarina,4.89,425,260,SIM,9,2024-07-28 13:56:28.032220
358,Margarina,8.01,34,15,SIM,10,2024-04-27 13:56:28.032220
359,Açúcar,6.3,301,158,NÃO,0,2024-07-24 13:56:28.032220
360,Arroz,18.74,409,246,NÃO,0,2024-01-12 13:56:28.032220
361,Leite,3.91,498,86,SIM,7,2024-01-30 13:56:28.032220
362,Margarina,14.58,68,37,SIM,16,2024-07-02 13:56:28.032220
363,Açúcar,5.41,348,348,NÃO,0,2024-02-17 13:56:28.032220
364,Açúcar,17.87,319,35,NÃO,0,2024-04-24 13:56:28.032220
365,Farinha de Trigo,19.3,420,203,NÃO,0,2023-11-10 13:56:28.032220
